Bornholdt baseline run (lattice or network)
params: {'topology': 'lattice', 'L': 32, 'n': None, 'net_params': {'m': 2, 'k': 4, 'p': 0.1}, 'J': 1.0, 'alpha': 8.0, 'T': 1.5, 'seed': 0, 'n_steps': 20000, 'burn_in': 10000, 'thin': 1, 'eps': 1e-06}
columns: t,M,r,abs_r,C_mean,chartist_frac,fundamentalist_frac
1.014100000000000000e+04,-1.425781250000000000e-01,1.961133593034003475e-01,1.961133593034003475e-01,1.425781250000000000e-01,4.287109375000000000e-01,5.712890625000000000e-01
1.014200000000000000e+04,-9.179687500000000000e-02,-4.403079595546808278e-01,4.403079595546808278e-01,9.179687500000000000e-02,4.541015625000000000e-01,5.458984375000000000e-01
1.014300000000000000e+04,-6.640625000000000000e-02,-3.237829119414366019e-01,3.237829119414366019e-01,6.640625000000000000e-02,4.667968750000000000e-01,5.332031250000000000e-01
1.014400000000000000e+04,-1.054687500000000000e-01,4.626179446744989043e-01,4.626179446744989043e-01,1.054687500000000000e-01,4.472656250000000000e-01,5.527343750000000000e-01
1.014500000000000000e+04,-1.542968750000000000e-01,3.804608054578710874e-01,3.804608054578710874e-01,1.542968750000000000e-01,4.228515625000000000e-01,5.771484375000000000e-01
1.014600000000000000e+04,-1.835937500000000000e-01,1.738458956050026316e-01,1.738458956050026316e-01,1.835937500000000000e-01,4.082031250000000000e-01,5.917968750000000000e-01
1.014700000000000000e+04,-1.914062500000000000e-01,4.167247408303964562e-02,4.167247408303964562e-02,1.914062500000000000e-01,4.042968750000000000e-01,5.957031250000000000e-01
1.014800000000000000e+04,-1.425781250000000000e-01,-2.945062483242948392e-01,2.945062483242948392e-01,1.425781250000000000e-01,4.287109375000000000e-01,5.712890625000000000e-01
1.014900000000000000e+04,-1.132812500000000000e-01,-2.300146167287620003e-01,2.300146167287620003e-01,1.132812500000000000e-01,4.433593750000000000e-01,5.566406250000000000e-01
1.015000000000000000e+04,-7.812500000000000000e-02,-3.715595840616465750e-01,3.715595840616465750e-01,7.812500000000000000e-02,4.609375000000000000e-01,5.390625000000000000e-01
1.015100000000000000e+04,-9.960937500000000000e-02,2.429434178576026504e-01,2.429434178576026504e-01,9.960937500000000000e-02,4.501953125000000000e-01,5.498046875000000000e-01
